Gene,P_Value
IGHV3-7,0.010329532009920962
ENDOD1,0.010930933935207351
CHI3L1,0.011587492331481448
WFIKKN2,0.011674744724206734
CFB,0.01285961637936648
CSF1,0.020240052812544394
TIMP2,0.020535189604217845
NUCB1,0.022335571342615892
IGSF8,0.028520070601182432
KNG1,0.033230709583398174
C16orf89,0.0377423689523518
SERPINA4,0.053391523192607884
CNDP1,0.053930473600980224
PGLYRP2,0.05883761124937124
TTR,0.05935194932541831
COL18A1,0.060173339700202486
EFEMP1,0.061089631839639655
MFAP4,0.06252570389585106
NRXN1,0.06293515168637381
IGHM,0.0634992849338719
PCSK1N,0.06440158374899319
IGLL5,0.07354011627174668
C4B,0.07358323798853646
APOD,0.08142074262971197
B2M,0.0817261964526322
THY1,0.08383019360003606
IGHV3-15,0.10223294227064045
LRRC4B,0.10224356531200839
GM2A,0.10596123252229833
APOA2,0.10604438341794065
TF,0.10793519070608003
SIRPA,0.1128871489360577
FN1,0.11739949217765851
COL3A1,0.12276841724361552
CFD,0.12418104957738403
HBB,0.12480092610017474
UBB,0.13287917095631083
SERPINA7,0.13744074437853723
CADM3,0.1432465906589818
ITIH4,0.14472638550121394
PON1,0.14761395970226435
FBLN5,0.1584812835855397
C3,0.16471527866306523
CTSD,0.16485174716527803
NFASC,0.16521911848272522
HSPG2,0.17342196615072158
SAA4,0.17560264199274975
COL1A2,0.17682080435892078
ITIH2,0.1782440598433706
PRDX2,0.17883299015136783
ALCAM,0.18029023638530042
IGKV2D-24,0.1829866001362898
RELN,0.194103090611895
IL6ST,0.2005792727825153
MDH1,0.21494455942871218
CLSTN3,0.22143414743437717
OPCML,0.23046009859258434
SERPINF1,0.23201861110097774
APOC1,0.2335770799737899
APOH,0.2342088017938636
GSN,0.23452680030171785
F5,0.23980388922216356
C1R,0.24017727243827489
CRTAC1,0.24166140617606996
CST3,0.2501258373314037
PLTP,0.25085662680340715
CLU,0.25358230641177837
LUM,0.2578679301103753
PI16,0.27207973629381627
FAM3C,0.2733122222730076
NRCAM,0.2734401178937061
CPE,0.2745976512193543
CPQ,0.27646607363338394
HSP90B1,0.27796780500693236
RPL13,0.28012441380008307
ENPP2,0.2811986746361783
TUBA1B,0.29847999866258507
AMBP,0.3016513854942953
CNTN2,0.30417280162256716
SCG3,0.3058028043059045
IGLC2,0.3063074478857753
AHSG,0.3082762313233795
TCN2,0.31341661815656663
YIPF3,0.3172058163248648
LRG1,0.3184019914649098
SOD3,0.32238863712234644
PRNP,0.32487316764841156
ITIH1,0.32643160398789206
NRXN2,0.3302036865830813
ENO1,0.330447045179201
TXN,0.3356782668936615
APOL1,0.3421651269080872
CHGB,0.3463066479205863
CFI,0.3491639885001295
LMAN2,0.3506939473171546
A2M,0.35201724989247835
C8G,0.3550155502317932
APOA1,0.356501153236433
ALDOC,0.36106510568297195
