Gene,Fast_vs_Slow_P
PPIB,1.7409895596289845e-11
CTSD,2.934407336727109e-11
TTR,0.0011840725699019377
FGA,0.0020660099515711653
CD44,0.003051851652324264
MMP2,0.005586688082997606
KLKB1,0.007783427375026118
CFB,0.008732616845090618
C4B,0.009690581497058209
CFI,0.012426830420858454
ACTB,0.02389614644942928
CFD,0.02652922561298539
MFAP4,0.03172270162887278
IGLV1-51,0.03332766687959298
HSPG2,0.03355740234304793
PCOLCE,0.03794111310180258
C8G,0.04417243904374399
CTSL,0.04925408676193619
FBLN1,0.058744310683859685
IGHG2,0.059225459357195934
C8B,0.06772724880718461
COL1A2,0.07241018552086725
EFEMP1,0.08112243773655492
TIMP1,0.08488692520213909
DAG1,0.08723755527891504
C1QB,0.09659585958478471
CLU,0.09759416831242076
FBLN5,0.10655609110553678
IGHV3-30,0.12455356525865781
IGKV4-1,0.1296288734351236
C5,0.13218670849919054
C4A,0.13799268320565652
FGB,0.14354974538368453
LUM,0.16845975738041985
SPARC,0.17148683884690558
IGLV1-47,0.17396120007838473
TIMP2,0.17437389085687918
COL18A1,0.1840667167127224
NCAM1,0.20245703717336386
PLG,0.20460999720611786
VTN,0.22897060226995136
FGG,0.23419479101541016
C9,0.26529902410580347
C1QA,0.2739161101201698
IGKV2-28,0.28045131485075375
IGLC2,0.3349697006392288
COL6A1,0.3623002687478678
IGLV2-8,0.38691153258580735
BCAN,0.3874279602693236
A2M,0.3971786571848699
F2,0.4000581884725182
C7,0.43653086066043933
COL1A1,0.4593896057694671
IGKV1-39,0.4909007497148893
SPP1,0.5041749039352759
NCAN,0.5044629892896002
APP,0.5642177843141014
NRXN1,0.5690165221212266
C1QC,0.5714154440712398
C1S,0.6094230098962965
C1R,0.6099349522784132
C8A,0.6119195990915492
IGKV3-20,0.6207211153130854
IGKC,0.623508067756257
C2,0.6782794432721335
FN1,0.7859196377487541
PTPRS,0.7996307960954678
IGHV3-7,0.7997859082241396
CFH,0.8021909960517002
SERPING1,0.8102967919746389
CPB2,0.8381447649643017
IGHG1,0.8421302453423684
C6,0.8741759016673973
PROS1,0.8767112929298607
COL3A1,0.9633942092636424
C3,0.9781097750062202
