Protein,Gene,ALS_1_T1_MaxLFQ_Intensity,ALS_1_T2_MaxLFQ_Intensity,ALS_1_T3_MaxLFQ_Intensity,ALS_1_T4_MaxLFQ_Intensity,ALS_2_T1_MaxLFQ_Intensity,ALS_2_T2_MaxLFQ_Intensity,ALS_2_T3_MaxLFQ_Intensity,ALS_2_T4_MaxLFQ_Intensity,ALS_3_T1_MaxLFQ_Intensity,ALS_3_T2_MaxLFQ_Intensity,ALS_3_T3_MaxLFQ_Intensity,ALS_3_T4_MaxLFQ_Intensity,ALS_4_T1_MaxLFQ_Intensity,ALS_4_T2_MaxLFQ_Intensity,ALS_4_T3_MaxLFQ_Intensity,ALS_4_T4_MaxLFQ_Intensity,ALS_5_T1_MaxLFQ_Intensity,ALS_5_T2_MaxLFQ_Intensity,ALS_5_T3_MaxLFQ_Intensity,ALS_5_T4_MaxLFQ_Intensity,ALS_6_T1_MaxLFQ_Intensity,ALS_6_T2_MaxLFQ_Intensity,ALS_6_T3_MaxLFQ_Intensity,ALS_6_T4_MaxLFQ_Intensity,ALS_7_T1_MaxLFQ_Intensity,ALS_7_T2_MaxLFQ_Intensity,ALS_7_T3_MaxLFQ_Intensity,ALS_7_T4_MaxLFQ_Intensity,ALS_8_T1_MaxLFQ_Intensity,ALS_8_T2_MaxLFQ_Intensity,ALS_8_T3_MaxLFQ_Intensity,ALS_8_T4_MaxLFQ_Intensity,ALS_9_T1_MaxLFQ_Intensity,ALS_9_T2_MaxLFQ_Intensity,ALS_9_T3_MaxLFQ_Intensity,ALS_9_T4_MaxLFQ_Intensity,ALS_10_T1_MaxLFQ_Intensity,ALS_10_T2_MaxLFQ_Intensity,ALS_10_T3_MaxLFQ_Intensity,ALS_10_T4_MaxLFQ_Intensity,ALS_11_T1_MaxLFQ_Intensity,ALS_11_T2_MaxLFQ_Intensity,ALS_11_T3_MaxLFQ_Intensity,ALS_11_T4_MaxLFQ_Intensity,Control_1_MaxLFQ_Intensity,Control_2_MaxLFQ_Intensity,Control_3_MaxLFQ_Intensity,Control_4_MaxLFQ_Intensity,Control_5_MaxLFQ_Intensity,Control_6_MaxLFQ_Intensity,Control_7_MaxLFQ_Intensity,Control_8_MaxLFQ_Intensity,Control_9_MaxLFQ_Intensity,Control_10_MaxLFQ_Intensity
contam_sp|P00761|TRYP_PIG,,523804288.0,529678656.0,645184960.0,753683580.0,8682424300.0,6621095400.0,8439851000.0,8571120600.0,269725376.0,281831552.0,255413760.0,249174176.0,641917820.0,795284030.0,711336000.0,573272130.0,933315070.0,997747900.0,1020039870.0,825226940.0,656414140.0,632050690.0,557895740.0,750957180.0,1239741310.0,1763848580.0,1334859010.0,1600388350.0,506288384.0,1147464700.0,720283520.0,556486140.0,248698400.0,324637472.0,570767680.0,227537536.0,502497024.0,390443072.0,407253536.0,381336320.0,269872640.0,348828800.0,309037664.0,380973024.0,469106560.0,708290430.0,741433470.0,325222848.0,589424190.0,591806720.0,864827390.0,421114080.0,407811168.0,634985090.0
contam_sp|P00767|CTRB_BOVIN,,0.0,0.0,0.0,0.0,559022.94,497957.78,367670.8,338319.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
contam_sp|P00883|ALDOA_RABIT,ALDOA,,,,,,,,,855396.2,875364.2,778998.56,1869621.6,,,,,,,,,,,,,,,,,1690507.2,2499511.0,2243441.5,1604053.2,,,,,,,,,,,,,,,,,,,,,,
contam_sp|P02663|CASA2_BOVIN,CSN1S2,0.0,0.0,0.0,0.0,681883.2,592989.7,110303.29,362987.44,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
contam_sp|P02666|CASB_BOVIN,CSN2,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
contam_sp|P02769|ALBU_BOVIN,ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
contam_sp|P15241|K2M2_SHEEP,,0.0,0.0,0.0,0.0,500620.78,920345.4,1216437.5,1097160.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sp|A0A075B6H7|KV37_HUMAN,IGKV3-7,17155776.0,16290261.0,20979840.0,18054976.0,19309728.0,23264008.0,20528754.0,18669176.0,6358262.5,6716813.0,3367754.2,19487022.0,,,,,11145286.0,0.0,11681850.0,0.0,0.0,0.0,0.0,0.0,,,,,17830758.0,12774254.0,16222871.0,19408670.0,15023778.0,13588091.0,15349187.0,0.0,2729274.2,2906654.8,14898062.0,12691008.0,,,,,3075035.5,12532531.0,9320887.0,4641833.5,0.0,5606277.5,18063030.0,18526112.0,24710356.0,17149912.0
sp|A0A075B6H9|LV469_HUMAN,IGLV4-69,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sp|A0A075B6I0|LV861_HUMAN,IGLV8-61,0.0,0.0,0.0,0.0,1798309.6,1625262.2,1975705.4,1588745.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
