Protein,Gene,ALS_1_T1_MaxLFQ_Intensity,ALS_1_T2_MaxLFQ_Intensity,ALS_1_T3_MaxLFQ_Intensity,ALS_1_T4_MaxLFQ_Intensity,ALS_2_T1_MaxLFQ_Intensity,ALS_2_T2_MaxLFQ_Intensity,ALS_2_T3_MaxLFQ_Intensity,ALS_2_T4_MaxLFQ_Intensity,ALS_3_T1_MaxLFQ_Intensity,ALS_3_T2_MaxLFQ_Intensity,ALS_3_T3_MaxLFQ_Intensity,ALS_3_T4_MaxLFQ_Intensity,ALS_4_T1_MaxLFQ_Intensity,ALS_4_T2_MaxLFQ_Intensity,ALS_4_T3_MaxLFQ_Intensity,ALS_4_T4_MaxLFQ_Intensity,ALS_5_T1_MaxLFQ_Intensity,ALS_5_T2_MaxLFQ_Intensity,ALS_5_T3_MaxLFQ_Intensity,ALS_5_T4_MaxLFQ_Intensity,ALS_6_T1_MaxLFQ_Intensity,ALS_6_T2_MaxLFQ_Intensity,ALS_6_T3_MaxLFQ_Intensity,ALS_6_T4_MaxLFQ_Intensity,ALS_7_T1_MaxLFQ_Intensity,ALS_7_T2_MaxLFQ_Intensity,ALS_7_T3_MaxLFQ_Intensity,ALS_7_T4_MaxLFQ_Intensity,ALS_8_T1_MaxLFQ_Intensity,ALS_8_T2_MaxLFQ_Intensity,ALS_8_T3_MaxLFQ_Intensity,ALS_8_T4_MaxLFQ_Intensity,ALS_9_T1_MaxLFQ_Intensity,ALS_9_T2_MaxLFQ_Intensity,ALS_9_T3_MaxLFQ_Intensity,ALS_9_T4_MaxLFQ_Intensity,ALS_10_T1_MaxLFQ_Intensity,ALS_10_T2_MaxLFQ_Intensity,ALS_10_T3_MaxLFQ_Intensity,ALS_10_T4_MaxLFQ_Intensity,Control_1_MaxLFQ_Intensity,Control_2_MaxLFQ_Intensity,Control_3_MaxLFQ_Intensity,Control_4_MaxLFQ_Intensity,Control_5_MaxLFQ_Intensity,Control_6_MaxLFQ_Intensity,Control_7_MaxLFQ_Intensity,Control_8_MaxLFQ_Intensity,Control_9_MaxLFQ_Intensity,Control_10_MaxLFQ_Intensity
contam_sp|P00761|TRYP_PIG,,29.09278431679775,29.157133921698005,29.414266981790025,29.611625871333132,27.81001701795885,27.922305814771132,27.73183177738237,27.706232418338914,29.271021459295945,29.53969450437509,29.471208421125922,29.083721159578765,29.855626216845444,29.976758953492396,29.92460681704358,29.780759614210066,29.336457646390876,29.32634291714797,28.955097584765145,29.485526986343086,30.011358620541415,30.670614562125035,30.37151246778725,30.39321954316043,28.53527995160834,29.87347564537616,29.212468340090965,28.61381785534977,28.166534747608683,28.78704457900089,29.449746096159128,28.122247598708867,28.494476882409245,28.217173599765797,28.198549634404152,28.149086992876445,27.844579177706503,28.263301359253255,28.062508376870102,28.40006862589068,28.6835425279034,29.621360806798005,29.595853234836987,28.588933254247443,29.311340910725207,29.354321985186132,29.79571587176957,28.817361336739015,28.54570488071865,29.369291366009023
contam_sp|P00767|CTRB_BOVIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
contam_sp|P00883|ALDOA_RABIT,ALDOA,,,,,19.50933427354335,19.591571777711977,19.37483190417065,20.647967977973163,,,,,,,,,,,,,,,,,20.308920538394734,21.030887464838592,20.88576081911389,20.175337900712453,,,,,,,,,,,,,,,,,,,,,,
contam_sp|P02663|CASA2_BOVIN,CSN1S2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
contam_sp|P02666|CASB_BOVIN,CSN2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
contam_sp|P02769|ALBU_BOVIN,ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
contam_sp|P15241|K2M2_SHEEP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp|A0A075B6H7|KV37_HUMAN,IGKV3-7,24.160522736081035,24.13409817071271,24.471629754322564,24.228135317011983,22.403302149383695,22.531393353692117,21.486926182868288,24.02966340115351,,,,,23.467767569524042,,23.476393848954412,,,,,,,,,,23.707760506892843,23.384408725678963,23.740004508541684,23.77224526382373,24.117457076877145,24.208629733491872,24.23307659988729,,20.970022984651784,21.147564940768024,23.425818985739443,23.239901614001912,,,,,21.430373728323083,23.80076946505173,23.282147053934544,22.458343224253014,,22.632382873679312,24.214415480763996,24.31078226942934,24.500991297010923,24.158841728197544
sp|A0A075B6H9|LV469_HUMAN,IGLV4-69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp|A0A075B6I0|LV861_HUMAN,IGLV8-61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
