Protein,Gene,ALS_1_T1_MaxLFQ_Intensity,ALS_1_T2_MaxLFQ_Intensity,ALS_1_T3_MaxLFQ_Intensity,ALS_1_T4_MaxLFQ_Intensity,ALS_2_T1_MaxLFQ_Intensity,ALS_2_T2_MaxLFQ_Intensity,ALS_2_T3_MaxLFQ_Intensity,ALS_2_T4_MaxLFQ_Intensity,ALS_3_T1_MaxLFQ_Intensity,ALS_3_T2_MaxLFQ_Intensity,ALS_3_T3_MaxLFQ_Intensity,ALS_3_T4_MaxLFQ_Intensity,ALS_4_T1_MaxLFQ_Intensity,ALS_4_T2_MaxLFQ_Intensity,ALS_4_T3_MaxLFQ_Intensity,ALS_4_T4_MaxLFQ_Intensity,ALS_5_T1_MaxLFQ_Intensity,ALS_5_T2_MaxLFQ_Intensity,ALS_5_T3_MaxLFQ_Intensity,ALS_5_T4_MaxLFQ_Intensity,ALS_6_T1_MaxLFQ_Intensity,ALS_6_T2_MaxLFQ_Intensity,ALS_6_T3_MaxLFQ_Intensity,ALS_6_T4_MaxLFQ_Intensity,ALS_7_T1_MaxLFQ_Intensity,ALS_7_T2_MaxLFQ_Intensity,ALS_7_T3_MaxLFQ_Intensity,ALS_7_T4_MaxLFQ_Intensity,ALS_8_T1_MaxLFQ_Intensity,ALS_8_T2_MaxLFQ_Intensity,ALS_8_T3_MaxLFQ_Intensity,ALS_8_T4_MaxLFQ_Intensity,ALS_9_T1_MaxLFQ_Intensity,ALS_9_T2_MaxLFQ_Intensity,ALS_9_T3_MaxLFQ_Intensity,ALS_9_T4_MaxLFQ_Intensity,ALS_10_T1_MaxLFQ_Intensity,ALS_10_T2_MaxLFQ_Intensity,ALS_10_T3_MaxLFQ_Intensity,ALS_10_T4_MaxLFQ_Intensity,ALS_11_T1_MaxLFQ_Intensity,ALS_11_T2_MaxLFQ_Intensity,ALS_11_T3_MaxLFQ_Intensity,ALS_11_T4_MaxLFQ_Intensity,Control_1_MaxLFQ_Intensity,Control_2_MaxLFQ_Intensity,Control_3_MaxLFQ_Intensity,Control_4_MaxLFQ_Intensity,Control_5_MaxLFQ_Intensity,Control_6_MaxLFQ_Intensity,Control_7_MaxLFQ_Intensity,Control_8_MaxLFQ_Intensity,Control_9_MaxLFQ_Intensity,Control_10_MaxLFQ_Intensity
contam_sp|P00761|TRYP_PIG,,29.062966987180907,29.12731659208116,29.38444965217318,29.58180854171629,34.03910847674457,33.613179246362634,34.03725349651302,34.092754148215334,27.780199688342005,27.89248848515429,27.702014447765528,27.67641508872207,29.2412041296791,29.509877174758245,29.44139109150908,29.05390382996192,29.8258088872286,29.946941623875553,29.894789487426735,29.750942284593222,29.306640316774033,29.296525587531125,28.9252802551483,29.455709656726242,29.98154129092457,30.64079723250819,30.341695138170408,30.363402213543587,28.505462621991498,29.843658315759317,29.18265101047412,28.584000525732925,28.13671741799184,28.757227249384048,29.419928766542284,28.092430269092024,28.4646595527924,28.187356270148953,28.16873230478731,28.1192696632596,27.81476184808966,28.23348402963641,28.03269104725326,28.370251296273835,28.653725198286555,29.591543477181162,29.566035905220144,28.5591159246306,29.281523581108363,29.32450465556929,29.765898542152726,28.78754400712217,28.515887551101805,29.33947403639218
contam_sp|P00767|CTRB_BOVIN,,,,,,20.116205656597323,19.9144203759623,19.55073819151398,19.463946269629655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
contam_sp|P00883|ALDOA_RABIT,ALDOA,,,,,,,,,19.479516943926505,19.561754448095133,19.345014574553808,20.61815064835632,,,,,,,,,,,,,,,,,20.27910320877789,21.00107013522175,20.855943489497047,20.14552057109561,,,,,,,,,,,,,,,,,,,,,,
contam_sp|P02663|CASA2_BOVIN,CSN1S2,,,,,20.402822810747615,20.166403995203087,17.813799410258948,19.56547756139317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
contam_sp|P02666|CASB_BOVIN,CSN2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
contam_sp|P02769|ALBU_BOVIN,ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
contam_sp|P15241|K2M2_SHEEP,,,,,,19.957016346374488,20.800572346684103,21.276913879694575,21.16126061525693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp|A0A075B6H7|KV37_HUMAN,IGKV3-7,24.13070540646419,24.104280841095868,24.44181242470572,24.19831798739514,25.226482202216236,25.460352809522064,25.35382584262689,25.25007237470188,22.37348481976685,22.501576024075273,21.457108853251444,23.999846071536666,,,,,23.4379502399072,,23.44657651933757,,,,,,,,,,23.677943177276,23.35459139606212,23.71018717892484,23.742427934206887,24.0876397472603,24.17881240387503,24.203259270270447,,20.94020565503494,21.11774761115118,23.3960016561226,23.21008428438507,,,,,21.40055639870624,23.770952135434886,23.2523297243177,22.42852589463617,,22.602565544062468,24.184598151147153,24.280964939812495,24.47117396739408,24.1290243985807
sp|A0A075B6H9|LV469_HUMAN,IGLV4-69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp|A0A075B6I0|LV861_HUMAN,IGLV8-61,,,,,21.80186768397222,21.62099752790864,21.97661952334953,21.695373611843188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
