Gene,Percent_Missing
P00767,100.0
P00883,84.0
P02663,100.0
P02666,100.0
P02769,100.0
P15241,100.0
A0A075B6H7,40.0
A0A075B6H9,100.0
A0A075B6I0,100.0
A0A075B6J9,92.0
A0A075B6K0,84.0
A0A075B6K4,100.0
A0A075B6K5,100.0
A0A075B6Q5,100.0
A0A075B6R2,82.0
A0A075B6S2,100.0
A0A075B6S5,100.0
A0A075B6S9,100.0
A0A0A0MT89,100.0
A0A0B4J1U3,100.0
A0A0B4J1V1,94.0
A0A0B4J1V2,94.0
A0A0B4J1Y9,94.0
A0A0B4J2D9,100.0
A0A0B4J2H0,100.0
A0A0C4DH24,100.0
A0A0C4DH25,100.0
A0A0C4DH29,100.0
A0A0C4DH31,88.0
A0A0C4DH33,100.0
A0A0C4DH34,40.0
A0A0C4DH35,100.0
A0A0C4DH36,100.0
A0A0C4DH43,64.0
A0A0C4DH67,86.0
A0A0C4DH72,84.0
A0A0C4DH73,100.0
A0A0J9YX35,96.0
A0A0J9YXX1,44.0
A0A2R8Y4L2,52.0
A0A8I5KQE6,100.0
A0M8Q6,100.0
A2NJV5,84.0
A6NGN9,100.0
A6NLU5,82.0
A6NMY6,94.0
A7E2Y1,100.0
B2RXH8,100.0
C9JVW0,100.0
E7ETH6,100.0
O00142,100.0
O00148,96.0
O00391,32.0
O00451,84.0
O00462,100.0
O00468,40.0
O14773,70.0
O14917,100.0
O15031,82.0
O15335,100.0
O15354,64.0
O15527,100.0
O43175,100.0
O43286,100.0
O43291,100.0
O43390,100.0
O43405,100.0
O43432,100.0
O43451,100.0
O43529,100.0
O43556,92.0
O43567,100.0
O43707,100.0
O43827,74.0
O43866,100.0
O60241,62.0
O60279,60.0
O60883,94.0
O75015,92.0
O75071,100.0
O75093,100.0
O75173,100.0
O75443,100.0
O75503,84.0
O75509,100.0
O75711,100.0
O75787,100.0
O94760,94.0
O94769,100.0
O94772,100.0
O94832,100.0
O94910,100.0
O94991,100.0
O95158,76.0
O95196,100.0
O95758,100.0
P00505,100.0
P00558,78.0
P00739,92.0
P00742,96.0
P00915,100.0
P01127,80.0
P01178,100.0
P01303,32.0
P01344,100.0
P01591,88.0
P01593,100.0
P01599,32.0
P01601,100.0
P01602,48.0
P01624,76.0
P01703,100.0
P01704,100.0
P01705,100.0
P01706,80.0
P01714,80.0
P01717,48.0
P01721,100.0
P01742,100.0
P01814,100.0
P01817,100.0
P01860,44.0
P01861,34.0
P01877,100.0
P01880,92.0
P02042,100.0
P02144,100.0
P02511,100.0
P03950,94.0
P04003,100.0
P04070,100.0
P04083,100.0
P04085,100.0
P04114,100.0
P04180,38.0
P04211,80.0
P04264,68.0
P04278,62.0
P04430,78.0
P04439,100.0
P04792,36.0
P04843,100.0
P05062,100.0
P05141,76.0
P05154,100.0
P05387,36.0
P05388,100.0
P05937,100.0
P05976,34.0
P06307,100.0
P06310,94.0
P06576,96.0
P06703,57.99999999999999
P06732,46.0
P06748,86.0
P06865,86.0
P07237,68.0
P07355,32.0
P07478,100.0
P07585,84.0
P07602,100.0
P07686,100.0
P07737,84.0
P07858,52.0
P07910,100.0
P08195,100.0
P08493,100.0
P08637,48.0
P08670,90.0
P08758,100.0
P09104,50.0
P09211,72.0
P09382,74.0
P09417,86.0
P09651,48.0
P09668,40.0
P0C0S8,84.0
P0DJI8,100.0
P0DMV8,88.0
P0DP01,100.0
P0DP23,100.0
P0DP58,100.0
P10153,100.0
P10412,40.0
P10586,86.0
P10606,100.0
P10721,100.0
P11055,92.0
P11279,76.0
P11362,44.0
P11940,100.0
P12004,100.0
P12111,80.0
P12318,100.0
P13611,88.0
P13645,96.0
P13987,100.0
P14174,100.0
P14314,100.0
P14543,90.0
P14649,100.0
P14866,100.0
P15151,70.0
P15259,72.0
P15586,100.0
P16402,92.0
P16403,84.0
P17844,100.0
P17931,100.0
P17936,100.0
P18085,100.0
P18124,92.0
P18621,100.0
P19320,44.0
P19338,50.0
P19835,100.0
P20472,40.0
P20827,100.0
P20933,78.0
P22061,64.0
P22105,100.0
P22234,100.0
P22304,78.0
P22626,32.0
P22692,100.0
P22748,100.0
P22792,100.0
P23083,100.0
P23246,100.0
P23396,100.0
P23470,32.0
P23526,100.0
P23528,100.0
P23582,100.0
P24043,100.0
P24534,100.0
P24588,100.0
P24593,96.0
P25398,100.0
P25713,100.0
P25774,100.0
P26447,100.0
P26599,84.0
P26641,48.0
P26927,100.0
P26992,34.0
P27348,92.0
P27635,100.0
P27658,100.0
P27797,72.0
P29401,96.0
P29692,92.0
P30041,100.0
P30050,100.0
P30101,100.0
P30530,44.0
P31150,100.0
P31948,100.0
P32004,34.0
P33151,100.0
P33908,76.0
P34096,100.0
P35232,100.0
P35268,100.0
P35527,94.0
P35612,100.0
P35613,100.0
P35858,34.0
P35908,94.0
P36575,100.0
P36578,70.0
P37837,100.0
P38646,76.0
P39019,100.0
P39059,100.0
P39687,100.0
P40227,100.0
P40429,100.0
P40926,100.0
P41217,100.0
P41271,100.0
P42766,100.0
P42857,100.0
P45877,100.0
P46776,100.0
P46777,100.0
P46779,100.0
P46781,72.0
P46782,100.0
P47914,57.99999999999999
P47972,62.0
P48058,32.0
P48643,100.0
P48745,100.0
P49207,100.0
P49327,42.0
P49368,100.0
P49641,80.0
P50502,100.0
P50750,100.0
P50914,100.0
P50990,94.0
P50991,100.0
P51153,100.0
P51512,100.0
P51801,100.0
P52799,96.0
P52803,100.0
P54108,100.0
P55087,100.0
P55283,57.99999999999999
P55285,100.0
P55286,100.0
P55854,100.0
P56159,100.0
P56192,100.0
P60842,62.0
P60866,100.0
P61247,100.0
P61254,100.0
P61278,82.0
P61313,100.0
P61353,88.0
P61970,100.0
P62241,78.0
P62244,78.0
P62249,100.0
P62258,96.0
P62263,100.0
P62269,100.0
P62277,100.0
P62328,48.0
P62424,50.0
P62701,84.0
P62736,48.0
P62753,100.0
P62826,96.0
P62829,92.0
P62851,54.0
P62861,100.0
P62899,100.0
P62906,100.0
P62910,100.0
P62913,100.0
P62917,90.0
P63010,100.0
P63313,100.0
P67809,100.0
P68133,76.0
P78371,100.0
P80108,100.0
P80723,54.0
P80748,72.0
P83731,88.0
P84090,100.0
P98095,100.0
P98198,100.0
Q00839,84.0
Q01130,100.0
Q01459,42.0
Q01469,100.0
Q01995,50.0
Q02487,100.0
Q02817,100.0
Q02878,100.0
Q03591,92.0
Q04756,100.0
Q05996,100.0
Q06033,80.0
Q06418,100.0
Q06828,46.0
Q07020,76.0
Q07666,100.0
Q07954,94.0
Q07955,100.0
Q08170,96.0
Q08174,94.0
Q08431,100.0
Q08629,44.0
Q08ET2,94.0
Q12905,100.0
Q13231,60.0
Q13404,100.0
Q13554,100.0
Q13683,100.0
Q14019,54.0
Q14112,57.99999999999999
Q14242,100.0
Q14376,100.0
Q14393,92.0
Q14520,100.0
Q14767,94.0
Q15223,34.0
Q15256,100.0
Q15375,96.0
Q15782,94.0
Q15828,100.0
Q16568,100.0
Q16620,100.0
Q16653,92.0
Q16674,100.0
Q16828,100.0
Q16849,42.0
Q24JP5,42.0
Q4G0X9,80.0
Q4KWH8,100.0
Q53EL9,36.0
Q5BLP8,100.0
Q5FWE3,64.0
Q5JPH6,100.0
Q5JZY3,100.0
Q5KU26,50.0
Q5T848,100.0
Q5VU97,92.0
Q6EMK4,78.0
Q6FHJ7,100.0
Q6GTX8,100.0
Q6MZW2,42.0
Q6NW40,70.0
Q6PRD1,100.0
Q6UW01,100.0
Q6UXD5,34.0
Q6ZMI3,52.0
Q6ZN30,100.0
Q6ZQQ6,100.0
Q6ZSJ9,100.0
Q6ZVL6,92.0
Q7Z2W7,100.0
Q7Z5A7,100.0
Q86SM8,100.0
Q86UN3,68.0
Q86VB7,100.0
Q86Y07,100.0
Q86Y38,100.0
Q8IUK5,100.0
Q8IV08,50.0
Q8IW52,84.0
Q8IWV2,94.0
Q8IZP7,100.0
Q8N0W4,100.0
Q8N114,100.0
Q8N3J6,72.0
Q8N841,100.0
Q8N8Y2,100.0
Q8NBJ4,60.0
Q8NES3,100.0
Q8NFP9,100.0
Q8NFT8,100.0
Q8TBP5,100.0
Q8TDQ0,100.0
Q8TE82,100.0
Q8TF72,100.0
Q8WVQ1,56.00000000000001
Q8WWX9,94.0
Q8WY21,100.0
Q8WZA1,68.0
Q92563,60.0
Q92673,100.0
Q92686,100.0
Q92743,88.0
Q92752,100.0
Q92765,84.0
Q92928,100.0
Q92932,62.0
Q92954,84.0
Q93091,92.0
Q96A32,84.0
Q96AP7,100.0
Q96B86,92.0
Q96EE4,100.0
Q96FE5,94.0
Q96FE7,60.0
Q96ID5,100.0
Q96JF0,74.0
Q96NG3,100.0
Q96PQ0,100.0
Q96PX8,50.0
Q99497,66.0
Q99523,100.0
Q99574,100.0
Q99623,100.0
Q99674,44.0
Q99729,100.0
Q99832,100.0
Q99983,60.0
Q9BQ16,100.0
Q9BRK5,100.0
Q9BTY2,44.0
Q9BX67,100.0
Q9BXJ3,100.0
Q9BZC7,100.0
Q9BZR6,40.0
Q9C0G6,100.0
Q9GZX9,100.0
Q9H0Q3,100.0
Q9H1Z8,100.0
Q9H2A7,100.0
Q9H3G5,76.0
Q9H706,100.0
Q9H8J5,84.0
Q9H8L6,68.0
Q9HAR2,100.0
Q9HAT2,50.0
Q9HCU4,48.0
Q9NPD7,44.0
Q9NPR2,74.0
Q9NQX5,100.0
Q9NRN5,84.0
Q9NRR1,100.0
Q9NS98,86.0
Q9NWZ5,100.0
Q9NX62,32.0
Q9NY97,100.0
Q9NYX4,100.0
Q9NZ53,100.0
Q9NZP8,100.0
Q9P0K1,40.0
Q9P0K9,100.0
Q9UBG0,100.0
Q9UBX1,92.0
Q9UGM5,100.0
Q9UHC6,94.0
Q9UHI8,96.0
Q9UHL4,34.0
Q9UI40,100.0
Q9UJA9,100.0
Q9UJJ9,64.0
Q9UKB5,92.0
Q9UKU9,100.0
Q9UL62,100.0
Q9ULF5,96.0
Q9ULI3,100.0
Q9UM22,46.0
Q9UMF0,64.0
Q9UNN8,70.0
Q9UNW1,100.0
Q9UPU3,84.0
Q9UQ52,100.0
Q9UQM7,94.0
Q9Y279,100.0
Q9Y287,100.0
Q9Y2T3,82.0
Q9Y4L1,60.0
Q9Y5F6,100.0
Q9Y5I4,96.0
Q9Y5Y7,76.0
Q9Y6N7,94.0
Q9Y6R7,32.0
