Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	ALS_1_1 Spectral Count	ALS_1_2 Spectral Count	ALS_1_3 Spectral Count	ALS_1_4 Spectral Count	ALS_1_1 Unique Spectral Count	ALS_1_2 Unique Spectral Count	ALS_1_3 Unique Spectral Count	ALS_1_4 Unique Spectral Count	ALS_1_1 Total Spectral Count	ALS_1_2 Total Spectral Count	ALS_1_3 Total Spectral Count	ALS_1_4 Total Spectral Count	ALS_1_1 Intensity	ALS_1_2 Intensity	ALS_1_3 Intensity	ALS_1_4 Intensity	ALS_1_1 MaxLFQ Intensity	ALS_1_2 MaxLFQ Intensity	ALS_1_3 MaxLFQ Intensity	ALS_1_4 MaxLFQ Intensity	Indistinguishable Proteins
contam_sp|P00761|TRYP_PIG	P00761	TRYP_PIG		231	Sus scrofa	1:Experimental evidence at protein level	Trypsin	1.0	0.999	4	27	27	27	6	7	7	7	6	7	7	7	6	7	7	7	5.2508352E8	4.4164352E8	2.10924576E8	5.22796544E8	2.69725376E8	2.81831552E8	2.5541376E8	2.49174176E8	
contam_sp|P00767|CTRB_BOVIN	P00767	CTRB_BOVIN		245	Bos taurus	1:Experimental evidence at protein level	Chymotrypsinogen B	0.4793	0.9725	1	1	1	1	0	1	0	0	0	1	0	0	0	1	0	0	220868.08	480794.16	223387.73	205258.9	0.0	0.0	0.0	0.0	
contam_sp|P00883|ALDOA_RABIT	P00883	ALDOA_RABIT	ALDOA	364	Oryctolagus cuniculus	1:Experimental evidence at protein level	Fructose-bisphosphate aldolase A	1.0	0.9985	6	17	0	17	3	4	4	6	0	0	0	0	3	4	4	6	2075256.0	2165193.0	2180511.2	4933782.0	855396.2	875364.2	778998.56	1869621.6	
contam_sp|P02663|CASA2_BOVIN	P02663	CASA2_BOVIN	CSN1S2	222	Bos taurus	1:Experimental evidence at protein level	Alpha-S2-casein	0.5026	0.9749	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	1	0.0	238439.78	0.0	627243.44	0.0	0.0	0.0	0.0	
contam_sp|P15241|K2M2_SHEEP	P15241	K2M2_SHEEP		491	Ovis aries	1:Experimental evidence at protein level	Keratin, type II microfibrillar, component 7C	0.9869	0.9753	1	4	0	4	1	1	1	1	0	0	0	0	1	1	1	1	2784232.8	2861001.5	2156706.2	1532745.8	0.0	0.0	0.0	0.0	contam_sp|P25691|K2M3_SHEEP, sp|O43790|KRT86_HUMAN, sp|P78385|KRT83_HUMAN, sp|P78386|KRT85_HUMAN, sp|Q14533|KRT81_HUMAN
sp|A0A075B6H7|KV37_HUMAN	A0A075B6H7	KV37_HUMAN	IGKV3-7	116	Homo sapiens	1:Experimental evidence at protein level	Probable non-functional immunoglobulin kappa variable 3-7	0.9996	0.9917	2	6	2	6	2	1	1	2	1	0	0	1	2	1	1	2	7135103.0	8048856.0	5903573.0	2.615623E7	6358262.5	6716813.0	3367754.2	1.9487022E7	
sp|A0A075B6H9|LV469_HUMAN	A0A075B6H9	LV469_HUMAN	IGLV4-69	119	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 4-69	0.256	0.9296	1	1	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0.0	0.0	911205.9	1326476.5	0.0	0.0	0.0	0.0	
sp|A0A075B6I0|LV861_HUMAN	A0A075B6I0	LV861_HUMAN	IGLV8-61	122	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 8-61	0.7092	0.9894	1	4	4	4	1	1	1	1	1	1	1	1	1	1	1	1	663883.6	522741.66	688018.44	788697.9	0.0	0.0	0.0	0.0	
sp|A0A075B6I9|LV746_HUMAN	A0A075B6I9	LV746_HUMAN	IGLV7-46	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 7-46	1.0	0.9964	2	8	0	8	2	2	2	2	0	0	0	0	2	2	2	2	6832280.0	4176401.2	7564084.0	8454015.0	3762064.5	2261245.8	4166722.5	4613656.0	sp|P04211|LV743_HUMAN
sp|A0A075B6K5|LV39_HUMAN	A0A075B6K5	LV39_HUMAN	IGLV3-9	115	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 3-9	0.9735	0.9508	2	1	1	5	0	1	0	0	0	1	0	0	1	2	1	1	532628.2	618127.4	420056.88	0.0	0.0	0.0	0.0	0.0	
