sample_full,missing_before_pct,missing_after_pct,delta_pct
ALS_1_T1_MaxLFQ_Intensity,56.341,22.044,-34.297
ALS_1_T2_MaxLFQ_Intensity,56.004,21.844,-34.16
ALS_1_T3_MaxLFQ_Intensity,54.097,18.637,-35.46
ALS_1_T4_MaxLFQ_Intensity,54.097,18.838,-35.259
ALS_2_T1_MaxLFQ_Intensity,26.599,6.012,-20.587
ALS_2_T2_MaxLFQ_Intensity,27.16,6.413,-20.747
ALS_2_T3_MaxLFQ_Intensity,32.323,7.615,-24.708
ALS_2_T4_MaxLFQ_Intensity,28.62,6.012,-22.608
ALS_3_T1_MaxLFQ_Intensity,69.36,45.691,-23.669
ALS_3_T2_MaxLFQ_Intensity,69.248,45.491,-23.757
ALS_3_T3_MaxLFQ_Intensity,69.585,45.892,-23.693
ALS_3_T4_MaxLFQ_Intensity,68.911,44.689,-24.222
ALS_4_T1_MaxLFQ_Intensity,56.453,22.445,-34.008
ALS_4_T2_MaxLFQ_Intensity,56.79,23.046,-33.744
ALS_4_T3_MaxLFQ_Intensity,57.015,23.647,-33.368
ALS_4_T4_MaxLFQ_Intensity,56.566,22.445,-34.121
ALS_5_T1_MaxLFQ_Intensity,53.648,19.038,-34.61
ALS_5_T2_MaxLFQ_Intensity,55.892,22.244,-33.648
ALS_5_T3_MaxLFQ_Intensity,53.872,19.038,-34.834
ALS_5_T4_MaxLFQ_Intensity,54.882,20.842,-34.04
ALS_6_T1_MaxLFQ_Intensity,57.688,25.251,-32.437
ALS_6_T2_MaxLFQ_Intensity,58.025,25.651,-32.374
ALS_6_T3_MaxLFQ_Intensity,59.147,27.255,-31.892
ALS_6_T4_MaxLFQ_Intensity,58.025,25.451,-32.574
ALS_7_T1_MaxLFQ_Intensity,61.392,31.263,-30.129
ALS_7_T2_MaxLFQ_Intensity,60.382,29.459,-30.923
ALS_7_T3_MaxLFQ_Intensity,61.392,31.263,-30.129
ALS_7_T4_MaxLFQ_Intensity,61.953,32.265,-29.688
ALS_8_T1_MaxLFQ_Intensity,65.208,38.076,-27.132
ALS_8_T2_MaxLFQ_Intensity,62.963,34.068,-28.895
ALS_8_T3_MaxLFQ_Intensity,63.3,35.07,-28.23
ALS_8_T4_MaxLFQ_Intensity,64.983,38.076,-26.907
ALS_9_T1_MaxLFQ_Intensity,58.361,26.653,-31.708
ALS_9_T2_MaxLFQ_Intensity,58.361,26.052,-32.309
ALS_9_T3_MaxLFQ_Intensity,56.566,23.447,-33.119
ALS_9_T4_MaxLFQ_Intensity,57.8,25.852,-31.948
ALS_10_T1_MaxLFQ_Intensity,65.544,38.477,-27.067
ALS_10_T2_MaxLFQ_Intensity,65.095,37.675,-27.42
ALS_10_T3_MaxLFQ_Intensity,65.432,38.277,-27.155
ALS_10_T4_MaxLFQ_Intensity,65.32,38.076,-27.244
ALS_11_T1_MaxLFQ_Intensity,68.575,44.289,-24.286
ALS_11_T2_MaxLFQ_Intensity,68.687,44.489,-24.198
ALS_11_T3_MaxLFQ_Intensity,68.575,44.289,-24.286
ALS_11_T4_MaxLFQ_Intensity,68.462,44.088,-24.374
Control_1_MaxLFQ_Intensity,56.341,23.246,-33.095
Control_2_MaxLFQ_Intensity,53.76,17.836,-35.924
Control_3_MaxLFQ_Intensity,54.994,20.04,-34.954
Control_4_MaxLFQ_Intensity,52.637,15.832,-36.805
Control_5_MaxLFQ_Intensity,54.433,18.838,-35.595
Control_6_MaxLFQ_Intensity,51.74,15.03,-36.71
Control_7_MaxLFQ_Intensity,54.658,19.038,-35.62
Control_8_MaxLFQ_Intensity,55.892,21.643,-34.249
Control_9_MaxLFQ_Intensity,56.902,23.447,-33.455
Control_10_MaxLFQ_Intensity,54.321,18.838,-35.483
