Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	ALS_6_1 Spectral Count	ALS_6_2 Spectral Count	ALS_6_3 Spectral Count	ALS_6_4 Spectral Count	ALS_6_1 Unique Spectral Count	ALS_6_2 Unique Spectral Count	ALS_6_3 Unique Spectral Count	ALS_6_4 Unique Spectral Count	ALS_6_1 Total Spectral Count	ALS_6_2 Total Spectral Count	ALS_6_3 Total Spectral Count	ALS_6_4 Total Spectral Count	ALS_6_1 Intensity	ALS_6_2 Intensity	ALS_6_3 Intensity	ALS_6_4 Intensity	ALS_6_1 MaxLFQ Intensity	ALS_6_2 MaxLFQ Intensity	ALS_6_3 MaxLFQ Intensity	ALS_6_4 MaxLFQ Intensity	Indistinguishable Proteins
contam_sp|P00761|TRYP_PIG	P00761	TRYP_PIG		231	Sus scrofa	1:Experimental evidence at protein level	Trypsin	1.0	0.999	4	28	28	28	7	7	7	7	7	7	7	7	7	7	7	7	4.7975984E8	1.14804659E9	8.692777E8	4.26325056E8	5.06288384E8	1.1474647E9	7.2028352E8	5.5648614E8	
contam_sp|P00767|CTRB_BOVIN	P00767	CTRB_BOVIN		245	Bos taurus	1:Experimental evidence at protein level	Chymotrypsinogen B	0.5208	0.9716	1	4	4	4	1	1	1	1	1	1	1	1	1	1	1	1	1006321.5	1570995.5	1151069.5	916525.5	0.0	0.0	0.0	0.0	
contam_sp|P00883|ALDOA_RABIT	P00883	ALDOA_RABIT	ALDOA	364	Oryctolagus cuniculus	1:Experimental evidence at protein level	Fructose-bisphosphate aldolase A	1.0	0.9988	7	17	0	17	4	4	7	2	0	0	0	0	4	4	7	2	4076061.0	5860754.0	6255058.5	4183790.2	1690507.2	2499511.0	2243441.5	1604053.2	sp|P04075|ALDOA_HUMAN
contam_sp|P15241|K2M2_SHEEP	P15241	K2M2_SHEEP		491	Ovis aries	1:Experimental evidence at protein level	Keratin, type II microfibrillar, component 7C	0.9769	0.9638	2	4	0	5	1	1	1	1	0	0	0	0	2	1	1	1	2853630.5	616731.25	1041907.44	2356275.8	0.0	0.0	0.0	0.0	contam_sp|P25691|K2M3_SHEEP, sp|O43790|KRT86_HUMAN, sp|P78385|KRT83_HUMAN, sp|P78386|KRT85_HUMAN, sp|Q14533|KRT81_HUMAN
sp|A0A075B6H7|KV37_HUMAN	A0A075B6H7	KV37_HUMAN	IGKV3-7	116	Homo sapiens	1:Experimental evidence at protein level	Probable non-functional immunoglobulin kappa variable 3-7	0.9999	0.9963	2	5	1	5	1	1	2	1	0	0	1	0	1	1	2	1	1.6127983E7	1.7693108E7	1.8811942E7	1.9841444E7	1.7830758E7	1.2774254E7	1.6222871E7	1.940867E7	
sp|A0A075B6I0|LV861_HUMAN	A0A075B6I0	LV861_HUMAN	IGLV8-61	122	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 8-61	0.9475	0.9982	1	4	4	4	1	1	1	1	1	1	1	1	1	1	1	1	2206189.8	2951416.0	3143681.8	2794111.0	0.0	0.0	0.0	0.0	
sp|A0A075B6I9|LV746_HUMAN	A0A075B6I9	LV746_HUMAN	IGLV7-46	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 7-46	1.0	0.9977	2	6	0	6	1	2	2	1	0	0	0	0	1	2	2	1	2412878.5	3916998.5	4516951.5	2675181.5	1460452.0	2510394.5	2954068.2	1622333.0	sp|P04211|LV743_HUMAN
sp|A0A075B6K4|LV310_HUMAN	A0A075B6K4	LV310_HUMAN	IGLV3-10	115	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 3-10	0.991	0.9858	1	3	0	3	0	1	1	1	0	0	0	0	0	1	1	1	3301773.5	9168550.0	1.4543159E7	5005624.5	0.0	0.0	0.0	0.0	sp|P01715|LV301_HUMAN
sp|A0A075B6K5|LV39_HUMAN	A0A075B6K5	LV39_HUMAN	IGLV3-9	115	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 3-9	0.9994	0.999	1	4	0	4	1	1	1	1	0	0	0	0	1	1	1	1	9486832.0	9568015.0	9123525.0	1.2917028E7	0.0	0.0	0.0	0.0	sp|P80748|LV321_HUMAN
sp|A0A075B6P5|KV228_HUMAN	A0A075B6P5	KV228_HUMAN	IGKV2-28	120	Homo sapiens	3:Protein inferred from homology	Immunoglobulin kappa variable 2-28	1.0	0.999	2	5	0	5	1	1	1	2	0	0	0	0	1	1	1	2	2.7672686E7	2.6657282E7	1.99331E7	3.3245626E7	2.7440834E7	2.2399174E7	2.1543626E7	2.8788678E7	sp|P01615|KVD28_HUMAN
sp|A0A075B6R2|HV404_HUMAN	A0A075B6R2	HV404_HUMAN	IGHV4-4	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 4-4	0.4561	0.9635	1	2	2	2	0	1	1	0	0	1	1	0	0	1	1	0	196792.34	482984.6	637217.94	355744.22	0.0	0.0	0.0	0.0	
sp|A0A075B6R9|KVD24_HUMAN	A0A075B6R9	KVD24_HUMAN	IGKV2D-24	120	Homo sapiens	1:Experimental evidence at protein level	Probable non-functional immunoglobulin kappa variable 2D-24	1.0	0.9989	3	6	0	6	0	2	3	1	0	0	0	0	0	2	3	1	8353694.0	1.0478996E7	1.1872355E7	1.2191163E7	4545507.0	4483027.5	6183812.0	7225458.0	sp|A0A0C4DH68|KV224_HUMAN
sp|A0A075B6S5|KV127_HUMAN	A0A075B6S5	KV127_HUMAN	IGKV1-27	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin kappa variable 1-27	0.9694	0.999	1	4	0	4	1	1	1	1	0	0	0	0	1	1	1	1	4607166.0	3443234.2	3501194.0	5619743.5	0.0	0.0	0.0	0.0	sp|A0A0C4DH67|KV108_HUMAN, sp|A0A0C4DH69|KV109_HUMAN
sp|A0A087WSY6|KVD15_HUMAN	A0A087WSY6	KVD15_HUMAN	IGKV3D-15	115	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin kappa variable 3D-15	0.9999	0.999	2	6	2	6	1	2	2	1	0	1	1	0	1	2	2	1	4135174.5	3278553.8	4080815.5	5979187.0	3657901.2	2516897.0	3439239.2	4742030.5	
sp|A0A0A0MRZ8|KVD11_HUMAN	A0A0A0MRZ8	KVD11_HUMAN	IGKV3D-11	115	Homo sapiens	3:Protein inferred from homology	Immunoglobulin kappa variable 3D-11	1.0	0.999	2	8	0	8	2	2	2	2	0	0	0	0	2	2	2	2	1.5017912E7	2.0116108E7	1.8210084E7	1.9119198E7	1.3768263E7	1.3538283E7	1.4860676E7	1.8293988E7	sp|P04433|KV311_HUMAN
sp|A0A0A0MS15|HV349_HUMAN	A0A0A0MS15	HV349_HUMAN	IGHV3-49	119	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 3-49	0.8655	0.9951	1	4	4	4	1	1	1	1	1	1	1	1	1	1	1	1	2111467.8	1201653.6	1698566.6	3334617.8	0.0	0.0	0.0	0.0	
sp|A0A0A0MT89|KJ01_HUMAN	A0A0A0MT89	KJ01_HUMAN	IGKJ1	12	Homo sapiens	4:Protein predicted	Immunoglobulin kappa joining 1	0.7125	0.9873	1	4	4	4	1	1	1	1	1	1	1	1	1	1	1	1	737904.9	503682.7	720618.3	699778.8	0.0	0.0	0.0	0.0	
sp|A0A0B4J1U7|HV601_HUMAN	A0A0B4J1U7	HV601_HUMAN	IGHV6-1	121	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 6-1	0.9997	0.9905	2	5	5	5	1	2	1	1	1	2	1	1	1	2	1	1	1.1801795E7	1.2569365E7	1.2260363E7	3799360.8	8454583.0	9512213.0	1.2672738E7	5250855.5	
sp|A0A0B4J1V0|HV315_HUMAN	A0A0B4J1V0	HV315_HUMAN	IGHV3-15	119	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 3-15	1.0	0.998	2	5	4	5	1	2	1	1	1	1	1	1	1	2	1	1	9.440072E7	1.8153434E7	1.250593E7	1.2551179E7	3.4781548E7	1.5239022E7	1.0391166E7	1.4817672E7	
sp|A0A0B4J2D9|KVD13_HUMAN	A0A0B4J2D9	KVD13_HUMAN	IGKV1D-13	117	Homo sapiens	3:Protein inferred from homology	Immunoglobulin kappa variable 1D-13	0.9694	0.999	1	4	0	4	1	1	1	1	0	0	0	0	1	1	1	1	4514124.0	3538829.8	4808285.0	7055377.5	0.0	0.0	0.0	0.0	sp|P0DP09|KV113_HUMAN
sp|A0A0C4DH25|KVD20_HUMAN	A0A0C4DH25	KVD20_HUMAN	IGKV3D-20	116	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin kappa variable 3D-20	0.995	0.9921	2	4	4	8	1	1	1	1	1	1	1	1	2	2	2	2	2606220.2	2428855.5	2390763.5	2943680.8	0.0	0.0	0.0	0.0	
sp|A0A0C4DH31|HV118_HUMAN	A0A0C4DH31	HV118_HUMAN	IGHV1-18	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 1-18	0.9662	0.9989	1	2	2	2	0	1	1	0	0	1	1	0	0	1	1	0	0.0	852919.44	1009422.3	0.0	0.0	0.0	0.0	0.0	
sp|A0A0C4DH34|HV428_HUMAN	A0A0C4DH34	HV428_HUMAN	IGHV4-28	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 4-28	1.0	0.9973	1	3	3	3	0	1	1	1	0	1	1	1	0	1	1	1	1450453.8	2856388.0	3169336.8	1849374.5	881864.56	1746643.9	1888717.6	1094574.6	
sp|A0A0C4DH36|HV338_HUMAN	A0A0C4DH36	HV338_HUMAN	IGHV3-38	116	Homo sapiens	1:Experimental evidence at protein level	Probable non-functional immunoglobulin heavy variable 3-38	0.8974	0.9964	1	3	3	3	1	1	1	0	1	1	1	0	1	1	1	0	807722.1	1072185.1	1478565.4	1264721.4	0.0	0.0	0.0	0.0	
sp|A0A0C4DH38|HV551_HUMAN	A0A0C4DH38	HV551_HUMAN	IGHV5-51	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 5-51	1.0	0.999	4	11	9	11	2	3	4	2	2	2	3	2	2	3	4	2	7570283.5	6337659.5	9070077.0	9112223.0	3981416.2	3158848.0	3714511.0	4888262.0	
sp|A0A0C4DH41|HV461_HUMAN	A0A0C4DH41	HV461_HUMAN	IGHV4-61	118	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 4-61	0.9999	0.9962	1	4	0	4	1	1	1	1	0	0	0	0	1	1	1	1	7726431.0	8288703.5	9971610.0	8325454.0	0.0	0.0	0.0	0.0	sp|P01824|HV439_HUMAN, sp|P01825|HV459_HUMAN, sp|P06331|HV434_HUMAN, sp|P0DP06|HVD34_HUMAN, sp|P0DP08|HVD82_HUMAN
sp|A0A0C4DH72|KV106_HUMAN	A0A0C4DH72	KV106_HUMAN	IGKV1-6	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin kappa variable 1-6	0.9622	0.9988	1	4	0	4	1	1	1	1	0	0	0	0	1	1	1	1	1577420.1	1538995.0	2414185.2	2340695.5	0.0	0.0	0.0	0.0	sp|P01599|KV117_HUMAN
sp|A0M8Q6|IGLC7_HUMAN	A0M8Q6	IGLC7_HUMAN	IGLC7	106	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda constant 7	0.9985	0.9911	4	2	2	11	0	1	1	0	0	1	1	0	2	3	4	2	0.0	842413.06	809360.8	316609.44	0.0	0.0	0.0	0.0	
sp|A6NLU5|VTM2B_HUMAN	A6NLU5	VTM2B_HUMAN	VSTM2B	285	Homo sapiens	1:Experimental evidence at protein level	V-set and transmembrane domain-containing protein 2B	0.9089	0.9968	1	1	1	1	0	0	1	0	0	0	1	0	0	0	1	0	695120.3	426282.25	771632.7	629405.1	0.0	0.0	0.0	0.0	
sp|B9A064|IGLL5_HUMAN	B9A064	IGLL5_HUMAN	IGLL5	214	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda-like polypeptide 5	1.0	0.999	5	16	4	16	4	3	5	4	1	1	1	1	4	3	5	4	3.15420992E8	4.6955836E7	2.43271952E8	3.80449984E8	1.09403088E8	1.61842864E8	2.44329024E8	1.50636448E8	
sp|O00142|KITM_HUMAN	O00142	KITM_HUMAN	TK2	265	Homo sapiens	1:Experimental evidence at protein level	Thymidine kinase 2, mitochondrial	0.5104	0.9704	1	2	2	2	0	1	1	0	0	1	1	0	0	1	1	0	0.0	1127955.4	1393267.9	732218.56	0.0	0.0	0.0	0.0	
sp|O00148|DX39A_HUMAN	O00148	DX39A_HUMAN	DDX39A	427	Homo sapiens	1:Experimental evidence at protein level	ATP-dependent RNA helicase DDX39A	0.6003	0.9793	1	2	0	2	0	1	1	0	0	0	0	0	0	1	1	0	155100.08	280482.72	280780.66	155074.73	0.0	0.0	0.0	0.0	sp|Q13838|DX39B_HUMAN
sp|O00391|QSOX1_HUMAN	O00391	QSOX1_HUMAN	QSOX1	747	Homo sapiens	1:Experimental evidence at protein level	Sulfhydryl oxidase 1	1.0	0.9989	2	3	3	3	0	2	1	0	0	2	1	0	0	2	1	0	521435.3	380107.97	616598.3	390124.9	0.0	0.0	0.0	0.0	
sp|O00468|AGRIN_HUMAN	O00468	AGRIN_HUMAN	AGRN	2068	Homo sapiens	1:Experimental evidence at protein level	Agrin	0.9997	0.9846	2	2	2	2	2	0	0	0	2	0	0	0	2	0	0	0	1113764.1	1163790.4	1396835.5	0.0	0.0	0.0	0.0	0.0	
sp|O00533|NCHL1_HUMAN	O00533	NCHL1_HUMAN	CHL1	1208	Homo sapiens	1:Experimental evidence at protein level	Neural cell adhesion molecule L1-like protein	1.0	0.999	15	38	38	38	9	10	13	6	9	10	13	6	9	10	13	6	9184405.0	8317744.5	8278010.5	7969214.0	4226973.0	4159786.5	4163242.8	3564862.0	
sp|O00584|RNT2_HUMAN	O00584	RNT2_HUMAN	RNASET2	256	Homo sapiens	1:Experimental evidence at protein level	Ribonuclease T2	1.0	0.999	5	12	12	12	2	4	5	1	2	4	5	1	2	4	5	1	6135721.5	5772868.5	5711031.0	7065626.5	3219721.8	3183905.0	3039439.0	3593254.2	
sp|O14498|ISLR_HUMAN	O14498	ISLR_HUMAN	ISLR	428	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin superfamily containing leucine-rich repeat protein	1.0	0.9985	3	5	5	5	1	3	1	0	1	3	1	0	1	3	1	0	1415304.1	1816579.2	1689868.0	1840323.8	1052848.6	631943.25	821302.3	1260611.2	
sp|O14594|NCAN_HUMAN	O14594	NCAN_HUMAN	NCAN	1321	Homo sapiens	1:Experimental evidence at protein level	Neurocan core protein	1.0	0.999	5	10	10	12	2	4	2	2	2	4	2	2	2	5	3	2	2434118.2	2814549.0	1357494.9	1764638.2	1033751.25	1163793.5	660951.94	784778.7	
sp|O14773|TPP1_HUMAN	O14773	TPP1_HUMAN	TPP1	563	Homo sapiens	1:Experimental evidence at protein level	Tripeptidyl-peptidase 1	1.0	0.9987	3	7	7	7	1	3	3	0	1	3	3	0	1	3	3	0	572164.25	2166575.0	2213767.8	0.0	0.0	810294.4	923040.9	0.0	
sp|O14791|APOL1_HUMAN	O14791	APOL1_HUMAN	APOL1	398	Homo sapiens	1:Experimental evidence at protein level	Apolipoprotein L1	1.0	0.9988	3	6	6	6	1	2	3	0	1	2	3	0	1	2	3	0	1633816.0	2482613.0	1600752.0	1772243.0	768932.2	1172464.9	754404.94	839261.9	
sp|O14983|AT2A1_HUMAN	O14983	AT2A1_HUMAN	ATP2A1	1001	Homo sapiens	1:Experimental evidence at protein level	Sarcoplasmic/endoplasmic reticulum calcium ATPase 1	1.0	0.9977	3	5	2	5	1	3	1	0	0	1	1	0	1	3	1	0	1574106.5	1615924.0	1703427.8	890003.25	704438.3	591728.25	809935.1	567623.94	
sp|O15240|VGF_HUMAN	O15240	VGF_HUMAN	VGF	615	Homo sapiens	1:Experimental evidence at protein level	Neurosecretory protein VGF	1.0	0.999	11	17	17	17	3	8	5	1	3	8	5	1	3	8	5	1	5426726.5	5500354.0	5565731.5	3092778.5	3950428.0	3817822.0	3753016.5	2334636.5	
sp|O15394|NCAM2_HUMAN	O15394	NCAM2_HUMAN	NCAM2	837	Homo sapiens	1:Experimental evidence at protein level	Neural cell adhesion molecule 2	1.0	0.999	10	23	23	23	5	5	9	4	5	5	9	4	5	5	9	4	6219150.5	4212283.0	4456141.5	5916252.0	4057137.8	3473160.8	3637724.2	4215468.5	
sp|O43405|COCH_HUMAN	O43405	COCH_HUMAN	COCH	550	Homo sapiens	1:Experimental evidence at protein level	Cochlin	0.8541	0.9946	1	2	2	2	0	1	1	0	0	1	1	0	0	1	1	0	614022.2	636551.75	716241.0	670024.4	0.0	0.0	0.0	0.0	
sp|O43432|IF4G3_HUMAN	O43432	IF4G3_HUMAN	EIF4G3	1585	Homo sapiens	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 4 gamma 3	0.9971	0.9879	1	3	3	3	1	1	1	0	1	1	1	0	1	1	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O43493|TGON2_HUMAN	O43493	TGON2_HUMAN	TGOLN2	437	Homo sapiens	1:Experimental evidence at protein level	Trans-Golgi network integral membrane protein 2	1.0	0.9973	2	3	3	3	0	1	2	0	0	1	2	0	0	1	2	0	835491.6	505011.12	1064172.5	821104.6	552053.94	0.0	684027.3	529884.9	
sp|O43505|B4GA1_HUMAN	O43505	B4GA1_HUMAN	B4GAT1	415	Homo sapiens	1:Experimental evidence at protein level	Beta-1,4-glucuronyltransferase 1	1.0	0.999	10	39	39	39	10	11	12	6	10	11	12	6	10	11	12	6	2.4152906E7	2.1976696E7	2.4039068E7	1.8485296E7	1.4106271E7	1.0358496E7	1.118063E7	1.0409641E7	
sp|O43827|ANGL7_HUMAN	O43827	ANGL7_HUMAN	ANGPTL7	346	Homo sapiens	1:Experimental evidence at protein level	Angiopoietin-related protein 7	0.9998	0.9915	2	3	3	3	0	1	1	1	0	1	1	1	0	1	1	1	884502.1	371449.75	317812.8	1201125.8	585235.94	0.0	0.0	848970.75	
sp|O60814|H2B1K_HUMAN	O60814	H2B1K_HUMAN	H2BC12	126	Homo sapiens	1:Experimental evidence at protein level	Histone H2B type 1-K	1.0	0.9972	3	10	0	10	2	3	3	2	0	0	0	0	2	3	3	2	9721771.0	3.396392E7	2.8794464E7	9375507.0	8406222.0	2.4841878E7	1.494503E7	7931726.5	sp|P57053|H2BFS_HUMAN, sp|P58876|H2B1D_HUMAN, sp|P62807|H2B1C_HUMAN, sp|Q5QNW6|H2B2F_HUMAN, sp|Q93079|H2B1H_HUMAN, sp|Q99877|H2B1N_HUMAN, sp|Q99879|H2B1M_HUMAN, sp|Q99880|H2B1L_HUMAN
sp|O75071|EFC14_HUMAN	O75071	EFC14_HUMAN	EFCAB14	495	Homo sapiens	1:Experimental evidence at protein level	EF-hand calcium-binding domain-containing protein 14	0.9139	0.997	1	1	1	1	0	1	0	0	0	1	0	0	0	1	0	0	0.0	507976.56	341249.34	0.0	0.0	0.0	0.0	0.0	
sp|O75144|ICOSL_HUMAN	O75144	ICOSL_HUMAN	ICOSLG	302	Homo sapiens	1:Experimental evidence at protein level	ICOS ligand	0.9373	0.9979	1	4	4	4	1	1	1	1	1	1	1	1	1	1	1	1	880258.75	558682.4	641841.1	985493.2	0.0	0.0	0.0	0.0	
sp|O75326|SEM7A_HUMAN	O75326	SEM7A_HUMAN	SEMA7A	666	Homo sapiens	1:Experimental evidence at protein level	Semaphorin-7A	1.0	0.999	10	23	23	23	2	9	9	3	2	9	9	3	2	9	9	3	5399529.0	3820501.0	2941963.0	3461835.0	1547990.6	1684560.0	1661217.4	1340592.1	
sp|O75503|CLN5_HUMAN	O75503	CLN5_HUMAN	CLN5	358	Homo sapiens	1:Experimental evidence at protein level	Bis(monoacylglycero)phosphate synthase CLN5	0.9999	0.9916	2	3	3	3	0	1	2	0	0	1	2	0	0	1	2	0	998774.2	1007215.0	1010869.7	1084618.1	844850.8	661744.75	746817.7	938362.7	
