Protein	Protein ID	Entry Name	Gene	Length	Is Decoy	Is Contaminant	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Protein Qvalue	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
contam_sp|P00761|TRYP_PIG	P00761	TRYP_PIG		231	false	true	Sus scrofa	Trypsin	1:Experimental evidence at protein level	25.11	1.0000	0.9990	0.00000000000000	4	4	4	6	6	6	8.5511866E8	8.5511866E8	8.5511866E8			
sp|A0A0A0MRZ8|KVD11_HUMAN	A0A0A0MRZ8	KVD11_HUMAN	IGKV3D-11	115	false	false	Homo sapiens	Immunoglobulin kappa variable 3D-11	3:Protein inferred from homology	26.09	1.0000	0.9982	0.00000000000000	2	0	2	2	0	2	1.1279037E7	0	1.1279037E7			sp|P04433|KV311_HUMAN
sp|A0A0C4DH41|HV461_HUMAN	A0A0C4DH41	HV461_HUMAN	IGHV4-61	118	false	false	Homo sapiens	Immunoglobulin heavy variable 4-61	1:Experimental evidence at protein level	7.63	1.0000	0.9980	0.00000000000000	1	0	1	1	0	1	4292282.0	0	4292282.0			sp|P01824|HV439_HUMAN, sp|P01825|HV459_HUMAN, sp|P06331|HV434_HUMAN, sp|P0DP06|HVD34_HUMAN, sp|P0DP08|HVD82_HUMAN
sp|A2NJV5|KV229_HUMAN	A2NJV5	KV229_HUMAN	IGKV2-29	120	false	false	Homo sapiens	Immunoglobulin kappa variable 2-29	1:Experimental evidence at protein level	45.83	1.0000	0.9990	0.00000000000000	5	1	5	5	1	5	3.8266276E7	826296.7	3.8266276E7			
sp|B9A064|IGLL5_HUMAN	B9A064	IGLL5_HUMAN	IGLL5	214	false	false	Homo sapiens	Immunoglobulin lambda-like polypeptide 5	1:Experimental evidence at protein level	19.63	1.0000	0.9990	0.00000000000000	3	1	2	3	1	2	2.7081152E8	4508324.0	1.9062966E7			
sp|O00468|AGRIN_HUMAN	O00468	AGRIN_HUMAN	AGRN	2068	false	false	Homo sapiens	Agrin	1:Experimental evidence at protein level	2.76	1.0000	0.9971	0.00000000000000	2	2	2	2	2	2	2139152.5	2139152.5	2139152.5			
sp|O00533|NCHL1_HUMAN	O00533	NCHL1_HUMAN	CHL1	1208	false	false	Homo sapiens	Neural cell adhesion molecule L1-like protein	1:Experimental evidence at protein level	18.63	1.0000	0.9990	0.00000000000000	16	16	16	16	16	16	1.602517E7	1.602517E7	1.602517E7			
sp|O00584|RNT2_HUMAN	O00584	RNT2_HUMAN	RNASET2	256	false	false	Homo sapiens	Ribonuclease T2	1:Experimental evidence at protein level	3.91	1.0000	0.9927	0.00000000000000	1	1	1	1	1	1	2136248.0	2136248.0	2136248.0			
sp|O14594|NCAN_HUMAN	O14594	NCAN_HUMAN	NCAN	1321	false	false	Homo sapiens	Neurocan core protein	1:Experimental evidence at protein level	8.78	1.0000	0.9989	0.00000000000000	8	8	8	8	8	8	5764274.0	5764274.0	5764274.0			
sp|O15240|VGF_HUMAN	O15240	VGF_HUMAN	VGF	615	false	false	Homo sapiens	Neurosecretory protein VGF	1:Experimental evidence at protein level	41.14	1.0000	0.9990	0.00000000000000	13	13	13	13	13	13	1.3881456E7	1.3881456E7	1.3881456E7			
sp|O15394|NCAM2_HUMAN	O15394	NCAM2_HUMAN	NCAM2	837	false	false	Homo sapiens	Neural cell adhesion molecule 2	1:Experimental evidence at protein level	13.14	1.0000	0.9990	0.00000000000000	7	7	7	7	7	7	7313340.5	7313340.5	7313340.5			
sp|O43505|B4GA1_HUMAN	O43505	B4GA1_HUMAN	B4GAT1	415	false	false	Homo sapiens	Beta-1,4-glucuronyltransferase 1	1:Experimental evidence at protein level	39.76	1.0000	0.9990	0.00000000000000	11	11	11	11	11	11	4.0137684E7	4.0137684E7	4.0137684E7			
sp|O60814|H2B1K_HUMAN	O60814	H2B1K_HUMAN	H2BC12	126	false	false	Homo sapiens	Histone H2B type 1-K	1:Experimental evidence at protein level	15.08	1.0000	0.9960	0.00000000000000	3	0	3	3	0	3	4875818.5	0	4875818.5			sp|P57053|H2BFS_HUMAN, sp|P58876|H2B1D_HUMAN, sp|P62807|H2B1C_HUMAN, sp|Q5QNW6|H2B2F_HUMAN, sp|Q93079|H2B1H_HUMAN, sp|Q99877|H2B1N_HUMAN, sp|Q99879|H2B1M_HUMAN, sp|Q99880|H2B1L_HUMAN
sp|O75144|ICOSL_HUMAN	O75144	ICOSL_HUMAN	ICOSLG	302	false	false	Homo sapiens	ICOS ligand	1:Experimental evidence at protein level	11.92	1.0000	0.9945	0.00000000000000	3	3	3	3	3	3	2140356.0	2140356.0	2140356.0			
sp|O75326|SEM7A_HUMAN	O75326	SEM7A_HUMAN	SEMA7A	666	false	false	Homo sapiens	Semaphorin-7A	1:Experimental evidence at protein level	22.22	1.0000	0.9989	0.00000000000000	9	9	9	9	9	9	4984704.0	4984704.0	4984704.0			
sp|O94856|NFASC_HUMAN	O94856	NFASC_HUMAN	NFASC	1347	false	false	Homo sapiens	Neurofascin	1:Experimental evidence at protein level	5.12	1.0000	0.9981	0.00000000000000	7	7	7	7	7	7	2192124.2	2192124.2	2192124.2			
sp|O94919|ENDD1_HUMAN	O94919	ENDD1_HUMAN	ENDOD1	500	false	false	Homo sapiens	Endonuclease domain-containing 1 protein	1:Experimental evidence at protein level	13.60	1.0000	0.9990	0.00000000000000	4	4	4	4	4	4	3361436.2	3361436.2	3361436.2			
sp|O94985|CSTN1_HUMAN	O94985	CSTN1_HUMAN	CLSTN1	981	false	false	Homo sapiens	Calsyntenin-1	1:Experimental evidence at protein level	16.11	1.0000	0.9990	0.00000000000000	11	11	11	11	11	11	2.269963E7	2.269963E7	2.269963E7			
sp|O95445|APOM_HUMAN	O95445	APOM_HUMAN	APOM	188	false	false	Homo sapiens	Apolipoprotein M	1:Experimental evidence at protein level	17.55	1.0000	0.9942	0.00000000000000	2	2	2	2	2	2	1108662.2	1108662.2	1108662.2			
sp|O95502|NPTXR_HUMAN	O95502	NPTXR_HUMAN	NPTXR	500	false	false	Homo sapiens	Neuronal pentraxin receptor	1:Experimental evidence at protein level	22.80	1.0000	0.9990	0.00000000000000	7	7	7	7	7	7	8633490.0	8633490.0	8633490.0			
sp|P00450|CERU_HUMAN	P00450	CERU_HUMAN	CP	1065	false	false	Homo sapiens	Ceruloplasmin	1:Experimental evidence at protein level	28.83	1.0000	0.9990	0.00000000000000	26	26	26	30	30	30	4.9935596E7	4.9935596E7	4.9935596E7			
sp|P00734|THRB_HUMAN	P00734	THRB_HUMAN	F2	622	false	false	Homo sapiens	Prothrombin	1:Experimental evidence at protein level	10.93	1.0000	0.9989	0.00000000000000	6	6	6	6	6	6	6600742.5	6600742.5	6600742.5			
sp|P00736|C1R_HUMAN	P00736	C1R_HUMAN	C1R	705	false	false	Homo sapiens	Complement C1r subcomponent	1:Experimental evidence at protein level	17.87	1.0000	0.9990	0.00000000000000	8	7	8	8	7	8	1.3807687E7	1.3807687E7	1.3807687E7			
sp|P00738|HPT_HUMAN	P00738	HPT_HUMAN	HP	406	false	false	Homo sapiens	Haptoglobin	1:Experimental evidence at protein level	13.79	1.0000	0.9990	0.00000000000000	5	1	5	5	1	5	1.1242061E7	491141.62	1.1242061E7			
sp|P00746|CFAD_HUMAN	P00746	CFAD_HUMAN	CFD	253	false	false	Homo sapiens	Complement factor D	1:Experimental evidence at protein level	18.58	1.0000	0.9933	0.00000000000000	4	4	4	4	4	4	4016026.5	4016026.5	4016026.5			
sp|P00747|PLMN_HUMAN	P00747	PLMN_HUMAN	PLG	810	false	false	Homo sapiens	Plasminogen	1:Experimental evidence at protein level	11.23	1.0000	0.9984	0.00000000000000	9	7	9	10	8	10	1.7818914E7	1.7818914E7	1.7818914E7			
sp|P00748|FA12_HUMAN	P00748	FA12_HUMAN	F12	615	false	false	Homo sapiens	Coagulation factor XII	1:Experimental evidence at protein level	2.93	1.0000	0.9990	0.00000000000000	1	1	1	2	2	2	1081801.5	1081801.5	1081801.5			
sp|P00751|CFAB_HUMAN	P00751	CFAB_HUMAN	CFB	764	false	false	Homo sapiens	Complement factor B	1:Experimental evidence at protein level	28.27	1.0000	0.9990	0.00000000000000	18	18	18	20	20	20	2.4017414E7	2.4017414E7	2.4017414E7			
sp|P01008|ANT3_HUMAN	P01008	ANT3_HUMAN	SERPINC1	464	false	false	Homo sapiens	Antithrombin-III	1:Experimental evidence at protein level	39.01	1.0000	0.9990	0.00000000000000	17	17	17	19	19	19	3.7807024E7	3.7807024E7	3.7807024E7			
sp|P01009|A1AT_HUMAN	P01009	A1AT_HUMAN	SERPINA1	418	false	false	Homo sapiens	Alpha-1-antitrypsin	1:Experimental evidence at protein level	59.33	1.0000	0.9990	0.00000000000000	27	26	27	38	37	38	4.793768E8	4.793768E8	4.793768E8			
sp|P01011|AACT_HUMAN	P01011	AACT_HUMAN	SERPINA3	423	false	false	Homo sapiens	Alpha-1-antichymotrypsin	1:Experimental evidence at protein level	48.23	1.0000	0.9990	0.00000000000000	17	17	17	19	19	19	9.2430712E7	9.2430712E7	9.2430712E7			
sp|P01019|ANGT_HUMAN	P01019	ANGT_HUMAN	AGT	476	false	false	Homo sapiens	Angiotensinogen	1:Experimental evidence at protein level	51.05	1.0000	0.9990	0.00000000000000	14	14	14	15	15	15	1.44157344E8	1.44157344E8	1.44157344E8			
sp|P01023|A2MG_HUMAN	P01023	A2MG_HUMAN	A2M	1474	false	false	Homo sapiens	Alpha-2-macroglobulin	1:Experimental evidence at protein level	39.21	1.0000	0.9990	0.00000000000000	40	33	40	47	39	47	6.8489696E7	6.8489696E7	6.8489696E7			
