Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	ALS_4_T1_1 Spectral Count	ALS_4_T2_2 Spectral Count	ALS_4_T3_3 Spectral Count	ALS_4_T4_4 Spectral Count	ALS_4_T1_1 Unique Spectral Count	ALS_4_T2_2 Unique Spectral Count	ALS_4_T3_3 Unique Spectral Count	ALS_4_T4_4 Unique Spectral Count	ALS_4_T1_1 Total Spectral Count	ALS_4_T2_2 Total Spectral Count	ALS_4_T3_3 Total Spectral Count	ALS_4_T4_4 Total Spectral Count	ALS_4_T1_1 Intensity	ALS_4_T2_2 Intensity	ALS_4_T3_3 Intensity	ALS_4_T4_4 Intensity	ALS_4_T1_1 MaxLFQ Intensity	ALS_4_T2_2 MaxLFQ Intensity	ALS_4_T3_3 MaxLFQ Intensity	ALS_4_T4_4 MaxLFQ Intensity	Indistinguishable Proteins
contam_sp|P00761|TRYP_PIG	P00761	TRYP_PIG		231	Sus scrofa	1:Experimental evidence at protein level	Trypsin	1.0	0.999	4	27	27	27	7	7	6	7	7	7	6	7	7	7	6	7	4.75521376E8	1.19169011E9	9.3351674E8	1.35749837E9	6.5641414E8	6.3205069E8	5.5789574E8	7.5095718E8	
contam_sp|P00767|CTRB_BOVIN	P00767	CTRB_BOVIN		245	Bos taurus	1:Experimental evidence at protein level	Chymotrypsinogen B	0.5807	0.9786	1	4	4	4	1	1	1	1	1	1	1	1	1	1	1	1	581513.7	573480.25	746279.44	548511.44	0.0	0.0	0.0	0.0	
contam_sp|P15241|K2M2_SHEEP	P15241	K2M2_SHEEP		491	Ovis aries	1:Experimental evidence at protein level	Keratin, type II microfibrillar, component 7C	0.8112	0.9763	1	2	0	2	0	1	1	0	0	0	0	0	0	1	1	0	1315220.1	1289283.5	2440009.8	977836.94	0.0	0.0	0.0	0.0	contam_sp|P25691|K2M3_SHEEP, sp|O43790|KRT86_HUMAN, sp|P78385|KRT83_HUMAN, sp|P78386|KRT85_HUMAN, sp|Q14533|KRT81_HUMAN
sp|A0A075B6H7|KV37_HUMAN	A0A075B6H7	KV37_HUMAN	IGKV3-7	116	Homo sapiens	1:Experimental evidence at protein level	Probable non-functional immunoglobulin kappa variable 3-7	0.997	0.9968	1	4	0	4	1	1	1	1	0	0	0	0	1	1	1	1	9768108.0	818915.0	1.0105511E7	9044460.0	0.0	0.0	0.0	0.0	
sp|A0A075B6I9|LV746_HUMAN	A0A075B6I9	LV746_HUMAN	IGLV7-46	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 7-46	1.0	0.9967	2	5	0	5	1	1	1	2	0	0	0	0	1	1	1	2	1434963.1	1282905.5	1248842.8	2333286.0	854812.5	771795.75	684268.1	1394092.0	sp|P04211|LV743_HUMAN
sp|A0A075B6K0|LV316_HUMAN	A0A075B6K0	LV316_HUMAN	IGLV3-16	115	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 3-16	0.9558	0.9986	1	3	0	3	1	1	0	1	0	0	0	0	1	1	0	1	950085.9	1095734.8	654914.5	1146431.2	0.0	0.0	0.0	0.0	sp|P01717|LV325_HUMAN, sp|P01718|LV327_HUMAN
sp|A0A075B6K4|LV310_HUMAN	A0A075B6K4	LV310_HUMAN	IGLV3-10	115	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 3-10	0.7559	0.9903	1	3	0	3	1	0	1	1	0	0	0	0	1	0	1	1	5684799.0	5364051.0	1143540.8	4802827.0	0.0	0.0	0.0	0.0	sp|P01715|LV301_HUMAN
sp|A0A075B6K5|LV39_HUMAN	A0A075B6K5	LV39_HUMAN	IGLV3-9	115	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 3-9	0.968	0.999	1	4	0	4	1	1	1	1	0	0	0	0	1	1	1	1	5223060.5	4436026.5	6288644.5	4921798.0	0.0	0.0	0.0	0.0	sp|P80748|LV321_HUMAN
sp|A0A075B6P5|KV228_HUMAN	A0A075B6P5	KV228_HUMAN	IGKV2-28	120	Homo sapiens	3:Protein inferred from homology	Immunoglobulin kappa variable 2-28	0.9996	0.999	2	7	0	7	2	2	2	1	0	0	0	0	2	2	2	1	1.4628184E7	1.5948478E7	2.2957698E7	2.098505E7	1.5143528E7	1.4560841E7	2.230203E7	1.8405834E7	sp|P01615|KVD28_HUMAN
sp|A0A075B6R9|KVD24_HUMAN	A0A075B6R9	KVD24_HUMAN	IGKV2D-24	120	Homo sapiens	1:Experimental evidence at protein level	Probable non-functional immunoglobulin kappa variable 2D-24	1.0	0.999	2	6	0	6	2	1	1	2	0	0	0	0	2	1	1	2	4465405.0	4774468.0	4810796.0	5114626.0	2784923.0	2993361.2	2855206.0	3096872.2	sp|A0A0C4DH68|KV224_HUMAN
sp|A0A075B6S5|KV127_HUMAN	A0A075B6S5	KV127_HUMAN	IGKV1-27	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin kappa variable 1-27	0.9676	0.999	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1458406.1	1385281.8	3589351.5	1831749.2	0.0	0.0	0.0	0.0	sp|A0A0C4DH67|KV108_HUMAN, sp|A0A0C4DH69|KV109_HUMAN
sp|A0A087WSY6|KVD15_HUMAN	A0A087WSY6	KVD15_HUMAN	IGKV3D-15	115	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin kappa variable 3D-15	0.9999	0.999	2	7	4	7	2	2	1	2	1	1	1	1	2	2	1	2	2282430.0	2077651.8	2627702.0	2407202.0	1359893.4	1259581.0	1612597.5	1418158.2	
sp|A0A0A0MRZ8|KVD11_HUMAN	A0A0A0MRZ8	KVD11_HUMAN	IGKV3D-11	115	Homo sapiens	3:Protein inferred from homology	Immunoglobulin kappa variable 3D-11	1.0	0.999	2	6	0	6	1	2	1	2	0	0	0	0	1	2	1	2	7751987.5	7964907.0	7725348.0	9264562.0	0.0	6775302.5	6789085.5	8075091.0	sp|P04433|KV311_HUMAN
sp|A0A0A0MS15|HV349_HUMAN	A0A0A0MS15	HV349_HUMAN	IGHV3-49	119	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 3-49	0.9838	0.9983	2	4	4	5	1	1	1	1	1	1	1	1	1	1	1	2	583884.4	602642.4	1024500.0	626652.9	0.0	0.0	0.0	0.0	
sp|A0A0A0MT89|KJ01_HUMAN	A0A0A0MT89	KJ01_HUMAN	IGKJ1	12	Homo sapiens	4:Protein predicted	Immunoglobulin kappa joining 1	0.7599	0.9905	1	3	3	3	1	1	0	1	1	1	0	1	1	1	0	1	460119.6	620504.75	669819.06	669306.56	0.0	0.0	0.0	0.0	
