Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	control_10_10 Spectral Count	control_1_1 Spectral Count	control_2_2 Spectral Count	control_3_3 Spectral Count	control_4_4 Spectral Count	control_5_5 Spectral Count	control_6_6 Spectral Count	control_7_7 Spectral Count	control_8_8 Spectral Count	control_9_9 Spectral Count	control_10_10 Unique Spectral Count	control_1_1 Unique Spectral Count	control_2_2 Unique Spectral Count	control_3_3 Unique Spectral Count	control_4_4 Unique Spectral Count	control_5_5 Unique Spectral Count	control_6_6 Unique Spectral Count	control_7_7 Unique Spectral Count	control_8_8 Unique Spectral Count	control_9_9 Unique Spectral Count	control_10_10 Total Spectral Count	control_1_1 Total Spectral Count	control_2_2 Total Spectral Count	control_3_3 Total Spectral Count	control_4_4 Total Spectral Count	control_5_5 Total Spectral Count	control_6_6 Total Spectral Count	control_7_7 Total Spectral Count	control_8_8 Total Spectral Count	control_9_9 Total Spectral Count	control_10_10 Intensity	control_1_1 Intensity	control_2_2 Intensity	control_3_3 Intensity	control_4_4 Intensity	control_5_5 Intensity	control_6_6 Intensity	control_7_7 Intensity	control_8_8 Intensity	control_9_9 Intensity	control_10_10 MaxLFQ Intensity	control_1_1 MaxLFQ Intensity	control_2_2 MaxLFQ Intensity	control_3_3 MaxLFQ Intensity	control_4_4 MaxLFQ Intensity	control_5_5 MaxLFQ Intensity	control_6_6 MaxLFQ Intensity	control_7_7 MaxLFQ Intensity	control_8_8 MaxLFQ Intensity	control_9_9 MaxLFQ Intensity	Indistinguishable Proteins
contam_sp|P00761|TRYP_PIG	P00761	TRYP_PIG		231	Sus scrofa	1:Experimental evidence at protein level	Trypsin	1.0	0.999	4	66	66	66	6	7	7	7	6	7	7	6	6	7	6	7	7	7	6	7	7	6	6	7	6	7	7	7	6	7	7	6	6	7	6.0037856E8	1.01514061E9	1.1461417E9	6.3821773E8	1.03795686E9	9.0240512E8	1.40205542E9	7.1747853E8	5.8469107E8	9.0689702E8	4.6910656E8	7.0829043E8	7.4143347E8	3.25222848E8	5.8942419E8	5.9180672E8	8.6482739E8	4.2111408E8	4.07811168E8	6.3498509E8	
contam_sp|P00767|CTRB_BOVIN	P00767	CTRB_BOVIN		245	Bos taurus	1:Experimental evidence at protein level	Chymotrypsinogen B	0.5114	0.9825	1	8	8	8	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	0	1	845175.1	836561.2	655131.3	233738.22	722345.5	489287.53	733636.2	627046.0	488020.84	657614.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_sp|P02769|ALBU_BOVIN	P02769	ALBU_BOVIN	ALB	607	Bos taurus	1:Experimental evidence at protein level	Albumin	1.0	0.9845	7	2	2	55	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	6	5	7	6	5	6	5	5	5	5	183827.95	0.0	789182.56	157057.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_sp|P15241|K2M2_SHEEP	P15241	K2M2_SHEEP		491	Ovis aries	1:Experimental evidence at protein level	Keratin, type II microfibrillar, component 7C	0.9997	0.9829	2	9	0	11	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	2	2572783.0	2092228.2	1573896.6	1137448.9	1261428.2	680974.06	1575688.8	2071146.5	2279065.5	1295870.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A075B6H7|KV37_HUMAN	A0A075B6H7	KV37_HUMAN	IGKV3-7	116	Homo sapiens	1:Experimental evidence at protein level	Probable non-functional immunoglobulin kappa variable 3-7	0.9999	0.9968	2	14	4	14	1	1	1	2	1	2	2	1	1	2	0	0	0	1	0	1	1	0	0	1	1	1	1	2	1	2	2	1	1	2	3422285.0	1.5980016E7	1.2218642E7	7219486.0	1.7757144E7	5369931.0	2.1709768E7	2.1825186E7	3.015036E7	2.0727934E7	3075035.5	1.2532531E7	9320887.0	4641833.5	0.0	5606277.5	1.806303E7	1.8526112E7	2.4710356E7	1.7149912E7	
sp|A0A075B6H9|LV469_HUMAN	A0A075B6H9	LV469_HUMAN	IGLV4-69	119	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 4-69	0.7844	0.9949	1	2	2	2	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1952810.4	0.0	0.0	0.0	0.0	0.0	2717232.2	0.0	0.0	1133754.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A075B6I0|LV861_HUMAN	A0A075B6I0	LV861_HUMAN	IGLV8-61	122	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 8-61	0.9407	0.9988	1	9	9	9	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	5663882.0	3335440.8	2905234.5	755375.5	3686461.0	1710366.0	5844894.5	0.0	1899431.4	4521113.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A075B6J9|LV218_HUMAN	A0A075B6J9	LV218_HUMAN	IGLV2-18	118	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 2-18	0.8126	0.9957	1	2	2	2	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0.0	710587.4	0.0	0.0	740367.4	0.0	1296273.0	0.0	1191107.8	1268029.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A075B6K4|LV310_HUMAN	A0A075B6K4	LV310_HUMAN	IGLV3-10	115	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 3-10	0.9881	0.986	1	6	0	6	0	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	1	0	1.9136188E7	2567428.8	5708146.0	8990442.0	5882013.0	6740057.5	1.0293684E7	8165877.0	5106809.0	8128365.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|P01715|LV301_HUMAN
sp|A0A075B6P5|KV228_HUMAN	A0A075B6P5	KV228_HUMAN	IGKV2-28	120	Homo sapiens	3:Protein inferred from homology	Immunoglobulin kappa variable 2-28	1.0	0.999	3	17	0	17	3	2	1	1	1	1	2	2	2	2	0	0	0	0	0	0	0	0	0	0	3	2	1	1	1	1	2	2	2	2	6.9606264E7	4.2238432E7	1.6723882E7	1.4006712E7	2.2816254E7	2.8901168E7	3.1797926E7	3.3829804E7	5.287176E7	4.4394332E7	7.3060104E7	3.543058E7	1.4279512E7	1.5951785E7	2.1996546E7	3.1210216E7	2.9946696E7	3.6788348E7	4.3120684E7	3.8681824E7	sp|P01615|KVD28_HUMAN
